,Tag,Title,Content
0,Thể thao,CAHN - Hà Tĩnh: Chờ Quang Hải ra mắt,"CAHN chiêu mộ Quang Hải được xem là ""bom tấn"" của kỳ chuyển nhượng giữa mùa V-League 2023. Tiền vệ 26 tuổi trở thành cái tên thứ 15 từng lên ĐTQG hoặc U23 Việt Nam gia nhập đội bóng tân binh của giải, gia tăng sức mạnh chuyên môn bên cạnh hiệu ứng hình ảnh truyền thông. Quang Hải cũng có sợi dây liên kết vô hình với CAHN, khi bố nuôi của anh Vũ Minh Hoàng là em ruột cựu tuyển thủ Vũ Minh Hiếu – biểu tượng của bóng đá ngành công an giai đoạn 1990-2005. Cùng sở hữu lối chơi sáng tạo ở tuyến giữa, Quang Hải được xem là chìa khóa giải quyết điểm yếu của CAHN trong cuộc đua đến ngôi vương. Sau màn ra mắt vào trưa qua 23/6, Quang Hải có buổi tập đầu tiên cùng toàn đội vào chiều cùng ngày. Vì thời gian làm quen ngắn ngủi, CAHN bỏ ngỏ khả năng để Hải thi đấu ngay trận gặp Hà Tĩnh chiều nay 24/6 tại sân Hàng Đẫy ở vòng 12 V-League 2023. Dù vậy, màn trình diễn ấn tượng hơn kỳ vọng ở loạt trận giao hữu cùng đội tuyển Việt Nam có thể cho HLV Flavio Luiz một góc nhìn khác về sự hòa nhập với lối chơi mới của Quang Hải. Sự hiện diện của nhiều tuyển thủ quốc gia ở CAHN là lợi thế cho Quang Hải. Anh có thể vào sân từ ghế dự bị khi đội bóng đảm bảo một tỷ số chiến thắng, mà không ảnh hưởng đến tập thể đã thắng bốn trong năm trận gần nhất và ghi 15 bàn. Tuy nhiên, Hà Tĩnh có đủ yếu tố để trở thành kẻ phá bĩnh trong ngày Quang Hải ra mắt. Vị trí thứ tư V-League là kết quả bất ngờ của thầy trò ông Nguyễn Thành Công, giúp đội sáng cửa nằm trong top tám đua vô địch. Hà Tĩnh nguy hiểm trong phản công, bên cạnh các tình huống cố định khi sở hữu ba ngoại binh Janclesio, Jose Pinto và Diallo Abdoulaye không chiến tốt. Không ngẫu nhiên Hà Tĩnh được xem là hiện tượng với cách chơi khó chịu và tinh thần không bỏ cuộc. Họ chỉ thua sát nút Hà Nội FC, thua ngược Thanh Hóa ở 10 phút cuối, hòa Viettel và thắng cả Hải Phòng lẫn Bình Định. Những kết quả tốt đó cổ vũ HLV Thành Công và học trò kiếm điểm khi hành quân đến Hàng Đẫy, đối đầu CAHN - đội có hàng công mạnh nhất giải với 25 bàn đã ghi từ đầu mùa. Đá cùng giờ với trận CAHN - Hà Tĩnh, Hải Phòng tiếp đội cuối bảng Đà Nẵng đang rất khát điểm ở sân Lạch Tray. Trong khi đó, vào lúc 18h00 tại sân Thiên Trường, Nam Định sẽ trình diện hàng công mới với mục tiêu đánh bại đội đầu bảng Thanh Hóa. Hiếu Lương"
1,Thể thao,Messi thừa nhận rạn nứt với fan PSG,"Trên tờ AS hôm 23/6, Messi kể lại những năm tháng anh gắn bó với PSG. Anh cho biết, khi hồi ban đầu, mọi chuyện diễn ra rất tốt nhưng sau đó một bộ phận CĐV bắt đầu thay đổi. ""Có sự rạn nứt với một bộ phận fan PSG"", Messi nói. ""Nhưng đó là cách đối xử của họ. Neymar và Mbappe cũng từng bị như vậy. Tôi chỉ giữ kỷ niệm với những người đã ủng hộ tôi"". Tiền đạo người Argentina cũng cho biết sau khi rời Barca, anh chọn PSG vì thích CLB nước Pháp. Một phần khác, anh coi trọng mối quan hệ với Neymar và sự quen biết với nhiều cầu thủ PSG. Tuy nhiên, giai đoạn thích nghi khó hơn anh tưởng tượng. ""Tôi gia nhập muộn và không có giai đoạn tiền mùa giải"", Messi cho hay. ""Tôi và gia đình phải thích nghi một cách khó khăn với một thành phố mới. Điều đó thật phức tạp"". Hồi tháng 8/2021, Messi gia nhập PSG ngay sau khi bị Barca từ chối gia hạn hợp đồng. Anh không có nhiều thời gian để chọn lựa CLB như những cầu thủ chuyển nhượng tự do khác. Tuy nhiên, Messi vẫn đạt phong độ tích cực. Mùa đầu tiên, anh góp 11 bàn và 15 kiến tạo trong 39 trận. Mùa tiếp theo, thành tích tăng lên 20 bàn và 21 kiến tạo trong 41 trận. Anh giành được hai Ligue 1 và một Siêu Cup Pháp. Mối quan hệ giữa Messi và fan PSG bắt đầu xấu đi từ đầu năm 2023. Sau thất bại ở vòng 1/8 Champions League lần thứ hai liên tiếp, một bộ phận CĐV chỉ trích Messi. Những trận cuối mùa, nhóm fan cuồng liên tục la ó nhà vô địch World Cup 2022. Quan hệ giữa các bên cũng căng thẳng sau sự kiện Messi sang Arab Saudi quảng bá du lịch đầu tháng 5. Messi lên kế hoạch cho việc này từ trước, nhưng PSG bắt các cầu thủ tập ngay sau trận thua Lorient ở Ligue I. Messi đăng video xin lỗi sau chuyến đi, cho biết đã hoãn một lần và không thể làm khác. Messi không gia hạn sau khi hết hợp đồng hai năm với PSG. Anh từ chối trở lại Barca, và khẳng định chưa nhận được lời mời chính thức. Để tránh tình trạng bị đẩy vào thế bị động như trước, tiền đạo 35 tuổi chọn Inter Miami làm điểm đến tiếp theo. CLB Mỹ do cựu danh thủ David Beckham thành lập vào năm 2018. Ngày 21/7, Messi có thể ra mắt Inter Miami trong trận giao hữu với Cruz Azul, Mexico. Thanh Quý (theo AS)"
2,Thể thao,Busquets tái hợp Messi ở Inter Miami,"Chiều 23/6 theo giờ Washington, Inter Miami đăng tải đoạn video ngắn trên Twitter dẫn lại lời khen từ HLV Vicente del Bosque, Pep Guardiola, Xavi hay tiền vệ Real Madrid Luka Modric. Đến cuối video, Inter Miami xác nhận ký hợp đồng với Busquets bằng dòng chữ ""Busi"" - biệt danh của tiền vệ Tây Ban Nha theo phong cách phun sơn graffiti. Đầu tháng 5, Busquets xác nhận chia tay Barca khi hết hợp đồng, bất chấp HLV Xavi thuyết phục ở lại thêm một năm. Tiền vệ 34 tuổi từ chối nhiều đề nghị lương khủng từ Arab Saudi để gia nhập Inter Miami và tái hợp bạn thân Messi. Hợp đồng giữa đôi bên có thời hạn đến hè 2025, kèm tùy chọn gia hạn một năm. Busquets, từ khi lên đội một Barca năm 2008, thi đấu cùng Messi tại Camp Nou cho đến khi ngôi sao Argentina gia nhập PSG theo dạng tự do hè 2021. Bộ đôi ngôi sao này cùng nhau đoạt mọi danh hiệu cùng Barca, gồm ba Champions League năm 2009, 2011 và 2015. Ngoài Messi và Busquets, Inter Miami có thể chiêu mộ một cựu cầu thủ khác của Barca là Jordi Alba. Tương tự Busquets, hậu vệ Tây Ban Nha thông báo rời sân Camp Nou khi kỳ chuyển nhượng mở cửa từ tháng trước. Theo ESPN, sau khi cùng tuyển Tây Ban Nha vô địch UEFA Nations League, Alba sẽ chốt tương lai trong vài tuần tới. Ngoài Inter Miami, hậu vệ 34 tuổi còn nhận được đề nghị từ Atletico Madrid, Inter Milan và các CLB Arab Saudi. Ngày 19/6, đồng sở hữu Inter Miami, ông Jorge Mas đã làm dấy lên tin đồn Alba có thể sắp tái hợp với Busquets và Messi khi đăng trên Twitter hình ảnh ba chiếc áo đấu màu hồng của CLB MLS, cùng thông điệp ""sắp ra mắt"" và hashtag ""không cần chú thích"". Đại diện của Mỹ còn nhắm tới một cựu cầu thủ Barca khác là Luis Suarez. Nhưng thương vụ khó xảy ra bởi tiền đạo Urguay còn hợp đồng với CLB Brazil Gremio đến tháng 12/2024, và được cho đang cân nhắc giải nghệ ở tuổi 36 vì chấn thương đầu gối dai dẳng. Inter Miami được cho ngắm tới cả Angel Di Maria - đồng đội của Messi trên tuyển Argentina. Nhưng tiền đạo cánh 35 tuổi này được cho đã đạt thỏa thuận để trở lại Benfica sau khi hết hợp đồng với Juventus ngày 30/6. Hồng Duy"
3,Thể thao,HLV Mai Đức Chung: 'Gặp tuyển Đức chủ yếu để học hỏi',"Việt Nam chạm trán Đức tại SVĐ Bieberer Berg lúc 18h15 giờ Berlin, tức 23h15 giờ Hà Nội hôm nay 24/6. Đức hiện đứng thứ hai trên bảng thứ bậc các đội tuyển nữ FIFA, hơn Việt Nam 30 bậc, nhưng được xếp ở đẳng cấp hoàn toàn khác biệt. Họ từng hai lần vô địch World Cup 2003 và 2007, giành HC vàng Olympic 2016 cùng tám lần vô địch Euro. ""Việt Nam gặp Đức chủ yếu để học hỏi"", HLV Mai Đức Chung nói ở họp báo trước trận vào tối 23/6. ""Tôi biết trình độ Đức cao hơn Việt Nam rất nhiều, nên mục tiêu chính ở trận này chỉ là cọ xát để khi vào World Cup sắp tới, chúng ta sẽ bớt đi phần nào khó khăn khi gặp Mỹ, Hà Lan"". Tuyển nữ Việt Nam tập huấn tại Đức và Ba Lan từ đầu tháng 6. Đội đá ba trận giao hữu, lần lượt thắng đội trẻ Frankfurt 2-1, thắng CLB hạng ba Đức Schott Mainz 2-0 và thua U23 Ba Lan 1-2. HLV Mai Đức Chung cho biết các cầu thủ Việt Nam tiến bộ hơn khi va chạm đối thủ có trình độ, lại to cao và giàu thể lực. Trong khi đó, tiền đạo Phạm Hải Yến tự tin rằng quá trình chuẩn bị vừa qua sẽ giúp đội tuyển thi đấu tốt nhất. ""Chúng tôi không lơ là, mà tập trung cho trận đấu quan trọng nhất ở chuyến tập huấn"", Hải Yến cho hay. ""Hy vọng đội sẽ ghi được ít nhất một bàn để tri ân khán giả"". Trong đợt tập huấn ở châu Âu hiện tại, Việt Nam tập trung cải thiện tốc độ và thể lực, tăng khả năng gây áp lực lên đối phương. Hệ thống phòng ngự đồng bộ được rèn luyện thêm sẵn sàng kiểm chứng thông qua trận đấu với đối thủ mạnh như Đức. Đội cũng vừa được tăng cường HLV thể lực Cedric Roger sau khi tuyển nam Việt Nam kết thúc đợt giao hữu gặp Hong Kong và Syria. Một năm trước, Việt Nam từng thua Pháp - đội đứng hạng năm thế giới - với tỷ số 0-7 ở trận giao hữu. Đó là lần hiếm hoi các cầu thủ được chạm trán với phong cách châu Âu, làm bài học kinh nghiệm cho trận đấu tối nay. Ở trận gặp Đức, Việt Nam sẽ vắng Huỳnh Như - tiền đạo đội trưởng chấn thương cổ chân trong trận thua U23 Ba Lan, chỉ kịp hồi phục ngay trước thềm World Cup 2023. Sau trận, tuyển nữ Việt Nam sẽ về nước ít ngày rồi sang New Zealand tập huấn tiếp vào đầu tháng 7, đá giao hữu hai trận - gặp đội chủ nhà và Tây Ban Nha - trước khi dự World Cup. Hiếu Lương"
4,Thể thao,Vì sao Arsenal vung tiền mua Havertz?,"Vừa là tiền đạo vừa là tiền vệ, Havertz hiếm khi tỏ ra hoàn toàn thoải mái với vai trò tại sân Stamford Bridge. Cầu thủ người Đức thi đấu qua ba đời HLV Chelsea, vận hành trong nhiều hệ thống, nhưng đến tận bây giờ, giới chuyên môn vẫn chưa xác định được đâu là vị trí tốt nhất của Havertz. Ngay cả HLV lừng danh Thomas Tuchel, thời còn dẫn dắt Chelsea, cũng không trả lời được câu hỏi này về học trò đồng hương, dù thừa nhận đây là cầu thủ độc đáo. Ông từng tự hỏi ""Havertz có cần ổn định ở một vị trí cụ thể không? Hay cậu ấy tiếp tục đá nhiều vị trí?"". Nhưng theo báo Anh Telegraph, với khoản phí chuyển nhượng 84 triệu USD, HLV Mikel Arteta rõ ràng có ý tưởng mạnh mẽ về cách khai thác tối đa tài năng của cầu thủ 24 tuổi. Trong đó, một phần quan trọng khiến Havertz hấp dẫn Arsenal là sự linh hoạt. Arteta và Giám đốc Thể thao Edu thường nhắm đến những cầu thủ có khả năng thi đấu ở nhiều vị trí và Havertz phù hợp với tiêu chí này. Nhưng chỉ sự linh hoạt không khiến một cầu thủ trị giá hơn 80 triệu USD. Đây không phải khoản phí mà Arsenal trả cho một cầu thủ chỉ đơn giản là giải pháp thay thế cho những ngôi sao tấn công không thể ra sân. Kỳ vọng vào cầu thủ người Đức lớn hơn nhiều việc giúp Arsenal có thể xoay tua đội hình và giảm tải cho các tiền đạo. Vậy Havertz còn mang đến cho Arsenal điều gì? Một trong những câu trả lời đơn giản hơn là chiều cao. Với chiều cao 1,9 m, cầu thủ người Đức cung cấp cho Arteta một khung thể chất khác trong các phương án tấn công, khi không có tiền đạo nào hiện tại của Arsenal cao hơn 1,8 m. Hơn nữa, không ai trong số họ đặc biệt lão luyện trong việc tận dụng các pha bóng bổng. Havertz không phải là mẫu tiền đạo tì đè, làm tường, nhưng có thể dứt điểm trên không ấn tượng, và biết cách tìm khoảng trống trong vòng cấm. Trong 32 bàn anh ghi cho Chelsea, có 10 bàn bằng đầu. ""Havertz rất thoải mái ở các vị trí dâng cao, và rất giỏi trong những pha đánh đầu. Cậu ấy hay có mặt đúng vị trí, đúng thời điểm trong vòng cấm, bình tĩnh, dứt điểm tốt"", Tuchel nói hồi 2021. Havertz thường sắm vai tiền đạo ở Chelsea, nhưng thứ bóng đá hay nhất của anh - như thời còn ở Leverkusen - đến từ một vị trí lùi sâu hơn. Một khi gia nhập Havertz đến Arsenal, để anh đá tiền vệ tấn công cùng Martin Odegaard sẽ là ý tưởng gây tò mò cho những người theo dõi tuyển thủ Đức lâu năm. Đương nhiên, có những yêu cầu phòng thủ trong vai trò đó có thể nằm ngoài bộ kỹ năng thông thường của Havertz. Nhưng nếu có thể di chuyển giữa hàng tiền vệ và hàng công khi Arsenal kiểm soát bóng, chọn thời điểm để khai thác khoảng trống phía sau lưng hàng thủ và xâm nhập vòng cấm, cầu thủ sinh năm 1999 sẽ mang đến những tình huống lên bóng linh hoạt và mưu mẹo khác cho lối chơi tấn công của ""Pháo thủ"". Theo Telegraph, Havertz có thể đá ""số 9 ảo"" thay Gabriel Jesus, hoặc chơi lùi sâu phía sau cầu thủ người Brazil. Sự có mặt của Havertz cũng sẽ cho phép Jesus dạt phải nhiều hơn, giảm bớt gánh nặng cho Bukayo Saka. Arsenal luôn vận hành rất tốt với những cầu thủ hoạt động ở giữa các tuyến, thay vì những vị trí cố định. Trong kỷ nguyên Ngoại hạng Anh, người thành công nhất trong số đó là huyền thoại Hà Lan Dennis Bergkamp. Tuchel từng so sánh Havertz với Bergkamp, và cả cựu tiền đạo Robin van Persie. Telegraph nhận định có những nghi ngờ nhất định về thể chất và tinh thần của Havertz. Đây là rủi ro lớn với Arsenal, với câu hỏi là cầu thủ người Đức có thể chịu được áp lực tâm lý khi chơi cho một trong những CLB lớn nhất ở châu Âu hay không. Havertz từng thừa nhận cảm thấy áp lực với mức phí 114 triệu USD mà Chelsea bỏ ra để tuyển mộ anh từ Leverkusen năm 2020. Anh cho biết sáu tháng đầu ở sân Stamford Bridge là khoảng thời gian thử thách nhất trong sự nghiệp. Havertz gia nhập CLB mới trong thời kỳ Covid-19 và phải gián đoạn thi đấu. Trong cuộc phỏng vấn với DAZN hồi đầu năm, cầu thủ 24 tuổi thừa nhận: ""Sự nhất quán luôn quan trọng trong sự nghiệp của tôi. Tôi thi thoảng đã đánh mất điều đó"". Bên cạnh những hạn chế vì Covid-19, Havertz cũng không thể thăng tiến bởi sự hỗn loạn tại Chelsea. Trong hai năm qua, CLB đã đổi chủ sở hữu, sử dụng nhiều HLV với những đội hình khác nhau, tuyển mộ hàng loạt tân binh và nhận những kết quả thảm hại. Ngay cả những tiền đạo trẻ tài năng nhất cũng không phát triển được trong bối cảnh như vậy. Hồi tháng 1/2023, Havertz đã lấy ví dụ về Jorginho để minh họa cho sự hỗn loạn của Chelsea ở mùa 2022-2023. ""Tôi đã chơi với Jorginho trong hai năm rưỡi và thích dành thời gian cùng anh ấy"", Havertz nói với Guardian. ""Và sau đó, Jorginho gọi cho tôi một buổi tối và nói đã rời CLB. Tôi như kiểu 'Cái quái gì vậy? Làm sao điều này có thể xảy ra được?' Đây là cách mà mọi thứ thay đổi nhanh chóng"". Jorginho, hiện với tư cách là cầu thủ Arsenal, hẳn đã nói chuyện với tiền đạo đàn em về việc chuyển tới sân Emirates. ""Những điều này không phải để bào chữa cho Havertz, người chắc chắn đã thi đấu kém hiệu quả trong phần lớn thời gian ở Chelsea, ngoại trừ bàn thắng trong trận chung kết Champions League 2021. Nhưng tình trạng hỗn loạn ở Stamford Bridge mang lại bối cảnh hữu ích. Arsenal tin rằng, trong tập thể ổn định hơn, tại CLB ít biến động, Havertz sẽ có thể phát huy hết tiềm năng to lớn"", Telegraph bình luận. Hồng Duy (theo Telegraph)"
5,Thể thao,HLV Hoàng Anh Tuấn: 'U17 Việt Nam đá trận hay nhất từ đầu giải',"""U17 Việt Nam đá trận hay nhất từ đầu giải"", HLV Hoàng Anh Tuấn nói ở họp báo sau trận vào tối 23/6. ""Thật tiếc kết quả không như mong đợi"". Điều tiếc nuối nhất của nhà cầm quân 55 tuổi là Việt Nam tạo ra nhiều cơ hội dứt điểm nhưng không thể tận dụng ghi bàn. Theo Sofascore, Việt Nam cầm bóng 46%, dứt điểm 11 cú, nhưng chỉ một đi trúng đích, trong khi Uzbekistan chỉ trúng đích ở ba trong 12 cú dứt điểm. Việt Nam lép vế trong hiệp một và thủng lưới ở phút 24, nhưng chơi tốt ở hiệp hai. Hoàng Công Hậu, Lê Huỳnh Triệu hay Lê Đình Long Vũ đều có cơ hội tốt để ghi bàn trong 20 phút cuối, nhưng đều kết thúc thiếu chính xác. HLV Hoàng Anh Tuấn thừa nhận cầu thủ nhập cuộc không tốt, đồng thời không giải tỏa được tâm lý căng thẳng ở cả ba trận. Trừ trận thua toàn diện Nhật Bản, hai trận còn lại đều để lại những tiếc nuối. ""Toàn đội chưa thể hiện được những gì mà ban huấn luyện chuẩn bị"", HLV người Khánh Hòa nói. ""Dù sao họ còn rất trẻ, và đây là những trải nghiệm quý báu"". Trước khi thua Uzbekistan, Việt Nam lần lượt hòa Ấn Độ 1-1 và thua Nhật Bản 0-4. Chung cuộc, đội xếp cuối bảng D với 1 điểm và hiệu số -5, bằng Ấn Độ nhưng kém số bàn thắng (1 so với 5). Trong khi đó, Nhật Bản và Uzbekistan dắt tay nhau vào tứ kết. Bốn cặp tứ kết được xác định lần lượt là chủ nhà Thái Lan - Hàn Quốc, Iran - Yemen, Arab Saudi - Uzbekistan và Nhật Bản - Australia. Bốn đội chiến thắng sẽ giành vé dự FIFA U17 World Cup 2023 tổ chức từ ngày 10/11 đến 2/12 tại Indonesia - chủ nhà mới thay thế Peru. Hiếu Lương"
6,Thể thao,Mỹ đăng cai FIFA Club World Cup 2025,"Theo thông báo của FIFA ngày 23/6, giải đấu kéo dài ba tuần ở Mỹ, trong khoảng tháng 6-7/2025, tại các sân vận động chuẩn bị cho World Cup 2026 - sự kiện do Mỹ, Canada và Mexico đồng đăng cai. Thể thức của FIFA Club World Cup 2025 chưa được quyết định nhưng nhiều khả năng 32 đội sẽ chia tám bảng nhằm đảm bảo mỗi CLB chơi ít nhất ba trận. Tổng cộng giải có thể có 56 trận, gồm cả trận tranh hạng Ba. Phiên bản FIFA Club World Cup hiện tại gồm bảy đội sẽ diễn ra lần cuối vào năm nay, từ 12-22/12 tại Saudi Arabia. Theo FIFA, phiên bản 32 đội hứa hẹn hấp dẫn hơn, diễn ra bốn năm một lần thay vì thường niên. Trong 32 CLB góp mặt, châu Âu có 12 suất và Nam Mỹ có sáu suất. Trong 12 CLB châu Âu có bốn nhà vô địch Champions League ở bốn mùa gần nhất. Điều này đồng nghĩa Real, Man City và Chelsea đã chắc suất tham dự. Đội đăng quảng Champions League 2023-24 sẽ lấy suất thứ tư. Tám suất còn lại của châu Âu dựa vào thứ bậc bảng điểm UEFA trong bốn năm. Ở những khu vực khác, AFC (châu Á), CAF (châu Phi) và CONCACAF (Bắc Trung Mỹ & Carribe) mỗi khu vực có bốn đại diện. OFC (châu Đại Dương) và Liên đoàn chủ nhà mỗi bên có một CLB tham dự. Do chủ nhà Mỹ nằm thuộc CONCACAF, khu vực này sẽ có năm CLB tranh tài. Với quyết định của FIFA, Mỹ sẽ đăng cai ba giải lớn trong ba năm liên tiếp, trước mắt là Copa America 2024. ""Chúng tôi tin Mỹ là địa điểm tổ chức lý tưởng bởi cơ sở vật chất và kinh nghiệm của họ"", Chủ tịch FIFA Infantino nói trong cuộc họp trực tuyến ngày 23/6. ""FIFA Club World Cup 2025 sẽ là đỉnh cao của bóng đá cấp CLB"". Cùng với việc ra mắt phiên bản mới, sự kiện cũng là nơi để FIFA thử nghiệm các mô hình bản quyền truyền hình mới, kiếm thêm các nhà tài trợ và dự kiến mang về doanh thu hàng trăm triệu USD cho 32 CLB góp mặt. Vy Anh"
7,Thể thao,Chelsea xác nhận mua Vua phá lưới Bundesliga,"""Nkunku mặc áo xanh"", Chelsea chú thích video đăng trên Twitter. Không lâu sau đó, đội bóng Anh đăng ảnh kèm dòng chữ: ""Chào mừng Nkunku"". Theo tờ Daily Mail, Chelsea đã đạt thỏa thuận cá nhân với Nkunku từ tháng 12/2022. Đội bóng Anh cũng chấp nhận chi 67 triệu USD để kích hoạt điều khoản phá vỡ hợp đồng giữa tiền đạo người Pháp và RB Leipzig. Nkunku hài lòng khi được khoác áo Chelsea. Tiền đạo 25 tuổi háo hức gặp HLV, đồng đội và chinh phục CĐV mới. ""Tôi từng chơi tại Ligue 1 và Bundesliga"", Nkunku cho biết. ""Bây giờ, tôi muốn chơi ở Ngoại hạng Anh. Đó là một trong những giải vô địch quốc gia mạnh nhất thế giới. Tôi rất hào hứng với thử thách này và tự hào khi được khoác áo Chelsea"". Theo hai đồng Giám đốc Thể thao Laurence Stewart và Paul Winstanley, Nkunku là một trong những tiền đạo hay nhất hai mùa vừa qua. Trung phong giá 67 triệu USD sẽ bổ sung chất lượng, sự sáng tạo và tính linh hoạt cho hàng công Chelsea. Mùa 2022-2023, Nkunku kết thúc Bundesliga với 16 bàn và sáu pha kiến tạo. Tiền đạo 25 tuổi phải dưỡng thương một thời gian dài, nhưng vẫn kịp giành giải đồng Vua phá lưới với Niclas Fullkrug. Nkunku cũng giúp RB Leipzig hạ Frankfurt 2-0 trong trận chung kết Cup Đức. Mùa trước đó, Nkunku chơi tốt hơn. Anh góp 20 bàn và 15 kiến tạo tại Bundesliga, nâng tổng thành tích trên mọi đấu trường lên 35 bàn và 20 kiến tạo. Nkunku qua mặt Robert Lewandowski để giành giải Cầu thủ hay nhất Bundesliga 2021-2022. Nkunku lỡ hẹn với World Cup 2022 do chấn thương. Bảy ngày trước trận mở màn của tuyển Pháp, anh va chạm với Edouardo Camavinga và đau đầu gối. HLV Didier Deschamps phải thay Nkunku bằng Kolo Muani. Nhưng chính Muani bỏ lỡ cơ hội vàng ở phút bù giờ trận chung kết. Mùa vừa qua, Chelsea chỉ ghi 38 bàn qua 38 trận và là một trong sáu đội ghi bàn kém nhất Ngoại hạng Anh. Họ vì thế kết thúc Ngoại hạng Anh 2022-2023 với vị trí 12. Mùa tới, Nkunku và đồng đội sẽ không được dự Cup châu Âu. Nkunku là tân binh đầu tiên của Chelsea hè này. Ở chiều ngược lại, CLB đã giải phóng Tiemoue Bakayoko và N'Golo Kante. Họ cũng đạt thỏa thuận bán Mateo Kovacic cho Man City và Kai Havertz cho Arsenal. Thanh Quý (theo Daily Mail, Twitter)"
8,Thể thao,Việt Nam dừng bước ở vòng bảng U17 châu Á 2023,"* Ghi bàn: Shodiboev 24’ Việt Nam thua 0-1, còn ở trận cùng giờ Nhật Bản đánh bại Ấn Độ 8-4. Bảng D khép lại với vị trí thứ nhất thuộc về Nhật Bản - đội có cùng bảy điểm, nhưng đứng trên Uzbekistan về hiệu số bàn thắng bại (+7 so với +2). Thầy trò ông Hoàng Anh Tuấn bước vào trận đấu tại sân Thammasat tối 23/6 với tâm thế buộc phải thắng. Tuy nhiên, Uzbekistan được đánh giá mạnh, hơn nên Việt Nam vẫn chơi cẩn trọng theo sơ đồ 5-4-1. Dù phòng ngự lùi sâu chờ phản công, khung thành Việt Nam luôn trong tình trạng nguy hiểm vì Uzbekistan tấn công biên tốt. Phút 22, Ollobergan Karimov nhả bóng ra tuyến hai để Ozodbek Uktamov sút xa từ khoảng 22 mét, khiến thủ môn Bảo Ngọc vất vả cản phá. Hai phút sau, Karimov hút theo hai cầu thủ Việt Nam trước khi nhả bóng để Lizizbek Mirzayev băng xuống ở biên phải rồi căng ngang vào vòng cấm. Trong thế không người kèm, Shodiyor Shodiboev đá nối đưa bóng chạm mép xà ngang trước khi vào lưới. Bàn thua khiến Việt Nam phải đẩy đội hình lên tấn công mở ra nhiều cơ hội cho Uzbekistan phản công. Nhưng lần lượt Mirzayev và Shodiboev bỏ lỡ khi đối mặt thủ môn Bảo Ngọc. Mãi đến phút 41, Việt Nam mới có cú sút đầu tiên từ ngoài vòng cấm từ nỗ lực cá nhân của Lê Huỳnh Triệu. Sang hiệp hai, HLV Hoàng Anh Tuấn tung thêm tiền đạo Hoàng Công Hậu vào sân để tăng sức tấn công. Hàng thủ Việt Nam cũng chơi tốt lên, chống phản công hiệu quả, giúp hàng công thoải mái hơn. Phút 70, Lê Đình Long Vũ qua người bên cánh trái rồi dứt điểm vào góc gần nhưng hậu vệ Uzbekistan cản phá trước vạch vôi. Năm phút sau, Công Hậu thoát xuống đón đường chọc khe nhưng sút không trúng tâm bóng. Không lâu sau đó, Việt Nam gây áp lực rồi cướp bóng bên sân đối phương, Công Hậu chuyền cho Huỳnh Triệu bên cánh trái trống trải, nhưng cú sút cuối lại đi vọt xà. Việt Nam tiếp tục tung thêm cầu thủ cao hơn 1m90 Đinh Quang Kiệt vốn đá trung vệ vào làm tiền đạo, tận dụng bóng bổng nhưng không tạo hiệu quả. Đội không thể ngược dòng dù hiệp hai có thêm bảy phút bù. Thất bại này khiến HLV Hoàng Anh Tuấn cùng Việt Nam lần thứ hai liên tiếp dừng chân ở vòng bảng giải châu lục trong năm 2023, sau giải U20 châu Á. Đội hình xuất phát: U17 Việt Nam: Bảo Ngọc, Đặng Thanh Bình, Nguyễn Lương Tuấn Khải, Phan Văn Thành, Quốc Khánh, Thiên Phú, Phạm Nguyễn Quốc Trung, Lê Đình Long Vũ, Lê Huỳnh Triệu, Công Phương, Vi Đình Thượng U17 Uzbekistan: Muhammadyusuf Sobirov, Bekhruz Jumatov, Ollobergan Karimov, Shodiyor Shodiboev, Ozodbek Uktamov, Azizbek Tulkunbekov, Mukhammedali Reimov, Behruz Shukurullaev, Sherzodbek Abdulboriev, Dilshod Abdullayev, Lazizbek Mirzayev. Hiếu Lương"
9,Thể thao,Cầu thủ nào hai lần liền phá kỷ lục chuyển nhượng?,Xuân Bình
